id,segment,start_sec,end_sec,score
UXR_bqyAy4E,0,0.0,7.07,0.4396845896551115
UXR_bqyAy4E,1,7.07,14.14,0.057479061693671014
UXR_bqyAy4E,2,14.14,21.21,0.2492709650288724
UXR_bqyAy4E,3,21.21,28.28,0.0824995955003839
UXR_bqyAy4E,4,28.28,35.35,0.08492631438446557
UXR_bqyAy4E,5,35.35,42.42,0.29081823445530863
UXR_bqyAy4E,6,42.42,49.49,0.1866918345403353
UXR_bqyAy4E,7,49.49,56.56,0.41185376961086745
UXR_bqyAy4E,8,56.56,63.63,0.4022912730564576
UXR_bqyAy4E,9,63.63,70.7,0.2258208216226183
UXR_bqyAy4E,10,70.7,77.77,0.13345922255992182
UXR_bqyAy4E,11,77.77,84.84,0.1296146270236367
UXR_bqyAy4E,12,84.84,91.91,0.11439748381967914
UXR_bqyAy4E,13,91.91,98.98,0.07810207202371885
UXR_bqyAy4E,14,98.98,106.05,0.09362800833376635
UXR_bqyAy4E,15,106.05,113.12,0.11812076637279419
UXR_bqyAy4E,16,113.12,120.19,0.32688036214562716
UXR_bqyAy4E,17,120.19,127.26,0.19578351181202022
UXR_bqyAy4E,18,127.26,134.33,0.1581835721483694
UXR_bqyAy4E,19,134.33,141.4,0.1446885196164921
UXR_bqyAy4E,20,141.4,148.47,0.1605327745816
UXR_bqyAy4E,21,148.47,155.54,0.16797856557296886
UXR_bqyAy4E,22,155.54,162.61,0.41895363622398857
UXR_bqyAy4E,23,162.61,169.68,0.6281171100249354
UXR_bqyAy4E,24,169.68,176.75,0.5970534813554222
UXR_bqyAy4E,25,176.75,183.82,0.5262233360933262
UXR_bqyAy4E,26,183.82,190.89,0.13812313339298982
UXR_bqyAy4E,27,190.89,197.96,0.12799538866337454
UXR_bqyAy4E,28,197.96,205.03,0.0912091880453875
UXR_bqyAy4E,29,205.03,212.1,0.06850683959509214
UXR_bqyAy4E,30,212.1,219.17,0.05518032761321603
UXR_bqyAy4E,31,219.17,226.24,0.059175147354649925
UXR_bqyAy4E,32,226.24,233.31,0.053438975913740826
UXR_bqyAy4E,33,233.31,240.38,0.05358101287018767
UXR_bqyAy4E,34,240.38,247.45,0.04893230880193625
UXR_bqyAy4E,35,247.45,254.52,0.05313667093983537
UXR_bqyAy4E,36,254.52,261.59,0.05156015978373645
UXR_bqyAy4E,37,261.59,268.66,0.04350899785028631
UXR_bqyAy4E,38,268.66,275.73,0.2714567033343118
UXR_bqyAy4E,39,275.73,282.8,0.03070774904294392
UXR_bqyAy4E,40,282.8,289.87,0.04523626459546419
UXR_bqyAy4E,41,289.87,296.94,0.07852612952058848
UXR_bqyAy4E,42,296.94,304.01,0.11271067441644425
UXR_bqyAy4E,43,304.01,311.08,0.5750303596532069
UXR_bqyAy4E,44,311.08,318.15,0.1466764990625223
UXR_bqyAy4E,45,318.15,325.22,0.1001341026071339
UXR_bqyAy4E,46,325.22,332.29,0.07911466674458548
UXR_bqyAy4E,47,332.29,339.36,0.08664470504992092
UXR_bqyAy4E,48,339.36,346.43,0.047801399152913
UXR_bqyAy4E,49,346.43,353.5,0.025852868009785035
UXR_bqyAy4E,50,353.5,360.57,0.01791695078622828
UXR_bqyAy4E,51,360.57,367.64,0.03943787531265671
UXR_bqyAy4E,52,367.64,374.71,0.013103491458441223
UXR_bqyAy4E,53,374.71,381.78,0.015271990553935568
UXR_bqyAy4E,54,381.78,388.85,0.00825757834914095
UXR_bqyAy4E,55,388.85,395.92,0.008248997482712957
UXR_bqyAy4E,56,395.92,402.99,0.0009070494077727738
UXR_bqyAy4E,57,402.99,410.06,0.011783212321413055
UXR_bqyAy4E,58,410.06,417.13,0.016316848807747815
UXR_bqyAy4E,59,417.13,424.2,0.010228632232950816
UXR_bqyAy4E,60,424.2,431.27,0.007996865648288607
UXR_bqyAy4E,61,431.27,438.34,0.007050949770215648
UXR_bqyAy4E,62,438.34,445.41,0.03743541073430768
